Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
ITC Aashirvaad Soul Creations,4.3,"North Indian, Healthy Food, Beverages, Desserts",¹ 150.00,35,30% OFF,https://www.zomato.com/bangalore/itc-aashirvaad-soul-creations-commercial-street-bangalore/order
Shyamji's Chole Bhature,4,"North Indian, Street Food, Fast Food, Desserts, Beverages",¹ 150.00,38,10% OFF,https://www.zomato.com/bangalore/shyamjis-chole-bhature-malleshwaram-bangalore/order
The Pizza Bakery,4.2,"Pizza, Pasta, Continental, Italian, Salad, Desserts, Beverages",¹ 400.00,28,30% OFF,https://www.zomato.com/bangalore/the-pizza-bakery-church-street-bangalore/order
Paris Panini - Gourmet Sandwiches & Wraps,4.4,"Sandwich, Wraps, Pasta, Salad, Desserts, Continental",¹ 400.00,31,30% OFF,https://www.zomato.com/bangalore/paris-panini-gourmet-sandwiches-wraps-church-street-bangalore/order
MOJO Pizza - 2X Toppings,4.5,"Pizza, Italian, Fast Food, Desserts",¹ 400.00,30,50% OFF,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-shanti-nagar-bangalore/order
Cakewala,4.2,"Bakery, Desserts",¹ 400.00,49,NA,https://www.zomato.com/bangalore/cakewala-1-jayanagar/order
Bowl Soul,3.7,"Continental, Chinese, Oriental, Asian, Healthy Food, Sandwich",¹ 400.00,34,Everything @    133 only,https://www.zomato.com/bangalore/bowl-soul-richmond-town-bangalore/order
Royal Restaurant,3.9,"North Indian, Chinese, Sichuan",¹ 400.00,37,30% OFF,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order
Ghee Tadka Khichdi,4.4,North Indian,¹ 400.00,37,   200 OFF,https://www.zomato.com/bangalore/ghee-tadka-khichdi-seshadripuram-bangalore/order
The Taj Hotel,4,"North Indian, Biryani, Chinese",¹ 400.00,35,NA,https://www.zomato.com/bangalore/the-taj-hotel-1-city-market-bangalore/order
AB's - Absolute Barbecues,3.6,"Biryani, BBQ, Kebab, North Indian, Desserts",¹ 400.00,49,40% OFF,https://www.zomato.com/bangalore/abs-absolute-barbecues-koramangala-5th-block-bangalore/order
Kuttanad Restaurant,4,"Kerala, South Indian, Chinese, Seafood, Beverages",¹ 400.00,52,NA,https://www.zomato.com/bangalore/kuttanad-restaurant-koramangala-5th-block-bangalore/order
NH1 Bowls - Highway To North,4.5,"North Indian, Fast Food, Desserts, Beverages",¹ 400.00,27,50% OFF,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-langford-town-bangalore/order
Barbeque Nation,3.9,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",¹ 400.00,46,30% OFF,https://www.zomato.com/bangalore/barbeque-nation-ulsoor-bangalore/order
Biggies Burger,4,"Burger, American, Fast Food, Wraps, Beverages, Shake",¹ 150.00,30,40% OFF,https://www.zomato.com/bangalore/biggies-burger-church-street-bangalore/order
TrueCakes - Fresh | Eggless | Cakes,4.2,"Bakery, Desserts",¹ 150.00,60,50% OFF,https://www.zomato.com/bangalore/truecakes-fresh-eggless-cakes-indiranagar-bangalore/order
